player,team,league,deep_lying_playmaker_score,ball_winner_score,dribbler_score,final_third_score,age
Azor Matusiwa,Rennes,FRA-Ligue 1,61.627645600459424,35.3900305623574,21.937535033320508,40.41311809740469,25
Baptiste Santamaria,Rennes,FRA-Ligue 1,79.1325879088372,75.8398992474152,57.54223730649208,46.361765968528864,28
Benjamin Bourigeaud,Rennes,FRA-Ligue 1,85.66858891575154,74.0418825695098,65.37120254664353,71.03177699752563,29
Désiré Doué,Rennes,FRA-Ligue 1,63.12128956955109,70.43675275583807,82.53356908110277,81.7172139337012,18
Enzo Le Fée,Rennes,FRA-Ligue 1,73.14075016646314,75.06245351329586,74.28341150007563,53.1470267205225,23
Nemanja Matić,Rennes,FRA-Ligue 1,69.12392063720742,58.62859305297271,63.52626716978599,42.08746363611018,34
Andrey Santos,Strasbourg,FRA-Ligue 1,53.58555844504823,47.35414627360096,43.5717996627745,54.768381460187285,19
Habib Diarra,Strasbourg,FRA-Ligue 1,67.60096020546902,67.00660019241163,80.60481685872112,69.9056030359804,19
Ibrahima Sissoko,Strasbourg,FRA-Ligue 1,67.12164314111327,70.3956287347076,53.367128598721195,55.96613199542254,25
Ismaël Doukouré,Strasbourg,FRA-Ligue 1,69.93396914170165,60.175461141313804,65.09374060977116,28.05926185687366,20
Jessy Deminguet,Strasbourg,FRA-Ligue 1,35.309055869299,36.89119812341275,29.364489879650346,47.80760290747901,25
Junior Mwanga,Strasbourg,FRA-Ligue 1,52.5625422358945,65.99550857589122,65.68228079324328,58.465850158740565,20
Cristian Cásseres Jr.,Toulouse,FRA-Ligue 1,70.6281973126061,83.50823584348645,59.65526623574754,45.78885167413106,23
Denis Genreau,Toulouse,FRA-Ligue 1,18.491151660647002,39.98502392359096,28.83680611089786,52.86304948866808,24
Niklas Schmidt,Toulouse,FRA-Ligue 1,74.65599264646903,51.01455339714727,64.91663774294345,59.48019572912633,25
Stijn Spierings,Toulouse,FRA-Ligue 1,87.11068720032365,78.59009527698119,60.175914590888304,36.40569726758635,27
Vincent Sierro,Toulouse,FRA-Ligue 1,79.67468470305138,77.0512701886817,63.263886754858675,60.4167964646793,27
Branco van den Boomen,Ajax,NED-Eredivisie,80.97283581818033,60.440436293893264,65.49183489276149,53.162937834666856,28
Jordan Henderson,Ajax,NED-Eredivisie,65.67031849814458,39.40656386976475,49.11672574350873,50.58294859687128,33
Sivert Mannsverk,Ajax,NED-Eredivisie,57.99381140104358,40.52122567973057,57.96545751435775,42.25028944373053,22
Lance Duijvestijn,Almere City,NED-Eredivisie,32.20162463304849,18.132634830126264,41.31498759155291,66.15906881784396,25
Peer Koopmeiners,Almere City,NED-Eredivisie,87.6536078718841,98.35144112934249,66.43279278920298,50.54556746521426,24
Stije Resink,Almere City,NED-Eredivisie,82.66472617478381,88.45063717800517,70.9006131098244,56.50305294695546,20
Álvaro Peña,Almere City,NED-Eredivisie,55.197007521908304,52.42508167555747,49.88070931156297,53.62507738255765,32
Cisse Sandra,Excelsior,NED-Eredivisie,50.74385430911342,59.1846818853773,52.2834891634597,58.674637073568704,20
Julian Baas,Excelsior,NED-Eredivisie,74.998186176342,87.95417278281629,59.653477540019004,47.816839340548896,22
Noah Naujoks,Excelsior,NED-Eredivisie,26.15416112560765,55.53931824400119,21.374419555232844,58.06406177260226,22
Ramiz Zerrouki,Feyenoord,NED-Eredivisie,80.82051285611632,82.57462637366831,58.62103669530478,44.99171676379496,25
Anas Ouahim,Heracles Almelo,NED-Eredivisie,39.51896943451473,56.836334763519325,54.023038356352835,62.593471836900726,26
Jordy Bruijn,Heracles Almelo,NED-Eredivisie,14.110604190945097,25.94838555551437,7.108565575985376,61.1127214292708,27
Sem Scheperman,Heracles Almelo,NED-Eredivisie,22.436655295264472,47.36340611142789,4.28292882231001,56.36405469123091,21
Ismael Saibari,PSV Eindhoven,NED-Eredivisie,45.0673532741451,70.84339994753952,64.18961112527946,93.91397361754295,23
Paxten Aaronson,Vitesse,NED-Eredivisie,41.88841431203853,68.80407476509987,57.44691422891688,91.11237903457953,20
Milan de Haan,Volendam,NED-Eredivisie,51.69316041678399,70.0989348520692,53.3549819773283,59.27745983700827,20
Robin Maulun,Volendam,NED-Eredivisie,42.11325366934632,6.522468498302608,18.47649595298185,55.782374045734315,27
Jake Garrett,Blackburn,ENG-Championship,30.473434003567874,34.22719284736077,28.51782286035452,53.7604367449267,21
Joe Rankin-Costello,Blackburn,ENG-Championship,54.28479542558243,58.92622790209079,55.986030906930786,63.008774104741796,24
John Buckley,Blackburn,ENG-Championship,36.54978978565106,36.78517118163736,28.28825688809565,34.483310214346545,24
Joe Williams,Bristol City,ENG-Championship,75.01836034839432,76.03252860898968,50.98781704327219,38.609458134566225,27
Matty James,Bristol City,ENG-Championship,66.46361505667682,69.40007058423812,50.61838744112528,36.04146823413682,32
Taylor Gardner-Hickman,Bristol City,ENG-Championship,61.24819942693228,67.7182299382517,69.38390292726302,53.775855596319474,22
Ben Sheaf,Coventry City,ENG-Championship,84.48381662606079,87.12228050922658,79.58787166329809,53.679879796582576,26
Josh Eccles,Coventry City,ENG-Championship,81.09927275951127,89.4420519326807,69.30159069849564,52.64741170903178,24
Liam Kelly,Coventry City,ENG-Championship,45.536364774884746,45.12655054653818,20.358974164976072,28.295326905312727,34
Tatsuhiro Sakamoto,Coventry City,ENG-Championship,43.76869416081419,61.38612710554224,76.7632947787772,78.26238824039093,27
Alex Matos,Huddersfield,ENG-Championship,32.75293299641068,64.14599195371727,36.04912888311274,48.34249238201506,19
Ben Wiles,Huddersfield,ENG-Championship,50.080111426132625,49.38198744547666,55.07783229205461,58.489884409750445,25
David Kasumu,Huddersfield,ENG-Championship,56.586849505683034,67.46009167288568,65.22093869320051,56.600748657814904,24
Jack Rudoni,Huddersfield,ENG-Championship,70.65348680496678,76.45031796859377,84.07182622114297,74.55434494703586,23
Jonathan Hogg,Huddersfield,ENG-Championship,81.36194409131781,79.8028227974516,36.20821495349495,22.44046558041028,35
Rarmani Edmonds-Green,Huddersfield,ENG-Championship,31.51380651371063,18.93310982544133,5.577295027927439,0.0,25
Abdülkadir Ömür,Hull City,ENG-Championship,25.265537864491073,46.55800502225745,46.11377065397506,62.10185246976442,24
Cesare Casadei,Leicester City,ENG-Championship,30.603514290002988,45.06844025249869,35.80760413003929,69.3340090735077,21
Harry Winks,Leicester City,ENG-Championship,87.43265972333955,84.76290878986455,80.68084460717064,33.18785399194083,28
Kiernan Dewsbury-Hall,Leicester City,ENG-Championship,70.3491776892827,76.68463234775118,83.54035970110485,84.07677840002715,25
Wilfred Ndidi,Leicester City,ENG-Championship,48.067831076728126,70.19783540569539,46.181228341250296,73.64906267028998,27
Aidomo Emakhu,Millwall,ENG-Championship,7.5671829838269185,19.453904546571906,57.994407680102114,82.00116864651176,20
Allan Campbell,Millwall,ENG-Championship,24.28364242091915,42.49796116550115,4.221107237403446,43.89501481499674,25
Billy Mitchell,Millwall,ENG-Championship,69.05424872439156,63.90869758017684,63.893689981077294,25.798091548952744,24
Casper de Norre,Millwall,ENG-Championship,77.76824805397597,64.41564992937694,57.31205505378405,42.71151203329923,27
George Honeyman,Millwall,ENG-Championship,59.99326551570668,67.11710419479108,53.744839012385036,55.07224532790922,29
George Saville,Millwall,ENG-Championship,69.7584749073396,84.08400703846502,64.28924106085829,58.6928639682114,30
Romain Esse,Millwall,ENG-Championship,29.703231685943642,39.26828489858679,31.887448811285807,66.59704833262302,19
Ryan Longman,Millwall,ENG-Championship,32.60738658378257,55.27403773201901,71.68678651476598,69.91485159316423,23
Adam Forshaw,Plymouth Argyle,ENG-Championship,37.47405051387205,39.26341582806553,20.092951213781028,33.8390835767853,32
Adam Randell,Plymouth Argyle,ENG-Championship,65.35739781920095,71.68179187495217,58.49377749436563,57.4485439262025,23
Darko Gyabi,Plymouth Argyle,ENG-Championship,27.009887351789384,42.00487934627004,47.01424632820142,64.51410521824471,20
Finn Azaz,Plymouth Argyle,ENG-Championship,66.42765292981075,47.66646739671066,75.2155054533427,87.39361786832475,23
Jordan Houghton,Plymouth Argyle,ENG-Championship,76.94571540064314,69.71085348567115,39.94096814723113,38.11183808923317,28
Luke Cundle,Plymouth Argyle,ENG-Championship,46.4259243168617,47.205153982194325,48.92785121970279,72.44183984517643,22
Alan Browne,Preston,ENG-Championship,72.74206540488703,85.46770057950695,72.42646106720446,56.69853384639196,29
Alistair McCann,Preston,ENG-Championship,62.25793429887463,86.06897700612552,40.26681613706097,28.003306565439267,24
